,event name,Classification,genre,venue,Date,Zip code,City,State
903,Charlie And The Chocolate Factory (Chicago),Arts & Theatre,Theatre,Oriental Theatre Chicago,2018-10-17,60601,Chicago,Illinois
904,Rex Orange County,Music,Rock,Subterranean,2018-08-04,60647,Chicago,Illinois
905,Luke Bryan,Music,Country,Wrigley Field,2018-09-01,60613,Chicago,Illinois
906,Heartbreak Hotel (Chicago),Arts & Theatre,Theatre,Broadway Playhouse at Water Tower Place,2018-08-29,60611,Chicago,Illinois
907,Punch Brothers,Music,Country,Symphony Center-IL,2018-09-07,60604,Chicago,Illinois
908,Alestorm w/ Gloryhammer,Music,Other,Concord Music Hall,2018-09-21,60647,Chicago,Illinois
909,Charlie And The Chocolate Factory (Chicago),Arts & Theatre,Theatre,Oriental Theatre Chicago,2018-10-10,60601,Chicago,Illinois
910,Mushroomhead,Music,Dance/Electronic,Patio Theater,2018-09-15,60634,Chicago,Illinois
911,Heartbreak Hotel (Chicago),Arts & Theatre,Theatre,Broadway Playhouse at Water Tower Place,2018-09-02,60611,Chicago,Illinois
912,888,Music,Rock,Chop Shop,2018-08-24,60647,Chicago,Illinois
913,Lake Street Dive,Music,Blues,Riviera Theatre- IL,2018-10-27,60640,Chicago,Illinois
914,Charlie And The Chocolate Factory (Chicago),Arts & Theatre,Theatre,Oriental Theatre Chicago,2018-10-16,60601,Chicago,Illinois
915,Heartbreak Hotel (Chicago),Arts & Theatre,Theatre,Broadway Playhouse at Water Tower Place,2018-08-22,60611,Chicago,Illinois
916,Waistwatchers The Musical!,Arts & Theatre,Theatre,Royal George Theatre,2018-09-13,60614,Chicago,Illinois
917,Heartbreak Hotel (Chicago),Arts & Theatre,Theatre,Broadway Playhouse at Water Tower Place,2018-09-07,60611,Chicago,Illinois
918,World Famous Gospel Brunch at House of Blues (CHI),Music,Religious,House of Blues Chicago presented by Cricket Wireless,2018-08-19,60654,Chicago,Illinois
919,Heartbreak Hotel (Chicago),Arts & Theatre,Theatre,Broadway Playhouse at Water Tower Place,2018-08-19,60611,Chicago,Illinois
920,Belly,Music,Other,Vic Theater,2018-10-06,60657,Chicago,Illinois
921,Ebi,Music,Other,Copernicus Center,2018-10-13,60630,Chicago,Illinois
922,Waistwatchers The Musical!,Arts & Theatre,Theatre,Royal George Theatre,2018-09-15,60614,Chicago,Illinois
923,Heartbreak Hotel (Chicago),Arts & Theatre,Theatre,Broadway Playhouse at Water Tower Place,2018-09-06,60611,Chicago,Illinois
924,Mitski w/ Jessica Lea Mayfield,Music,Alternative,Vic Theater,2018-10-25,60657,Chicago,Illinois
925,Heartbreak Hotel (Chicago),Arts & Theatre,Theatre,Broadway Playhouse at Water Tower Place,2018-09-04,60611,Chicago,Illinois
926,Jessie J w/ Ro James,Music,Other,Riviera Theatre- IL,2018-10-12,60640,Chicago,Illinois
927,Here Come the Mummies,Music,R&B,Concord Music Hall,2018-10-12,60647,Chicago,Illinois
928,Justin Hayward,Music,Rock,City Winery - Chicago,2018-08-26,60607,Chicago,Illinois
929,Jain,Music,Other,Metro,2018-10-21,60657,Chicago,Illinois
930,Dark Star Orchestra,Music,Rock,Vic Theater,2018-09-29,60657,Chicago,Illinois
931,Death Cab for Cutie,Music,Alternative,Auditorium Theatre - IL,2018-10-07,60605,Chicago,Illinois
932,Late Nite Catechism,Arts & Theatre,Theatre,Royal George Theatre,2018-08-11,60614,Chicago,Illinois
933,Heartbreak Hotel (Chicago),Arts & Theatre,Theatre,Broadway Playhouse at Water Tower Place,2018-08-31,60611,Chicago,Illinois
934,Late Nite Catechism,Arts & Theatre,Theatre,Royal George Theatre,2018-08-18,60614,Chicago,Illinois
935,Riot Fest,Miscellaneous,Fairs & Festivals,Douglas Park,2018-09-14,60623,Chicago,Illinois
936,Heartbreak Hotel (Chicago),Arts & Theatre,Theatre,Broadway Playhouse at Water Tower Place,2018-09-05,60611,Chicago,Illinois
937,Helloween,Music,Rock,Concord Music Hall,2018-09-10,60647,Chicago,Illinois
938,Waistwatchers The Musical!,Arts & Theatre,Theatre,Royal George Theatre,2018-09-20,60614,Chicago,Illinois
939,Waistwatchers The Musical!,Arts & Theatre,Theatre,Royal George Theatre,2018-09-22,60614,Chicago,Illinois
