,event name,Classification,genre,venue,Date,Zip code,City,State
162,AutoZone Liberty Bowl,Sports,Football,Liberty Bowl Stadium,2018-12-31,38104,Memphis,Tennessee
163,Shh!  We Have a Plan,Arts & Theatre,Children's Theatre,Halloran Centre at the Orpheum Theatre Memphis,2019-04-06,38103,Memphis,Tennessee
164,Hamilton,Arts & Theatre,Undefined,Orpheum Theatre - Memphis,2019-07-09,38103,Memphis,Tennessee
165,Hamilton,Arts & Theatre,Undefined,Orpheum Theatre - Memphis,2019-07-10,38103,Memphis,Tennessee
166,Hamilton,Arts & Theatre,Undefined,Orpheum Theatre - Memphis,2019-07-11,38103,Memphis,Tennessee
167,Hamilton,Arts & Theatre,Undefined,Orpheum Theatre - Memphis,2019-07-12,38103,Memphis,Tennessee
168,Hamilton,Arts & Theatre,Undefined,Orpheum Theatre - Memphis,2019-07-13,38103,Memphis,Tennessee
169,Hamilton,Arts & Theatre,Undefined,Orpheum Theatre - Memphis,2019-07-13,38103,Memphis,Tennessee
170,Hamilton,Arts & Theatre,Undefined,Orpheum Theatre - Memphis,2019-07-14,38103,Memphis,Tennessee
171,Hamilton,Arts & Theatre,Undefined,Orpheum Theatre - Memphis,2019-07-14,38103,Memphis,Tennessee
172,Hamilton,Arts & Theatre,Undefined,Orpheum Theatre - Memphis,2019-07-16,38103,Memphis,Tennessee
173,Hamilton,Arts & Theatre,Undefined,Orpheum Theatre - Memphis,2019-07-17,38103,Memphis,Tennessee
174,Hamilton,Arts & Theatre,Undefined,Orpheum Theatre - Memphis,2019-07-18,38103,Memphis,Tennessee
175,Hamilton,Arts & Theatre,Undefined,Orpheum Theatre - Memphis,2019-07-19,38103,Memphis,Tennessee
176,Hamilton,Arts & Theatre,Undefined,Orpheum Theatre - Memphis,2019-07-20,38103,Memphis,Tennessee
177,Hamilton,Arts & Theatre,Undefined,Orpheum Theatre - Memphis,2019-07-20,38103,Memphis,Tennessee
178,Hamilton,Arts & Theatre,Undefined,Orpheum Theatre - Memphis,2019-07-21,38103,Memphis,Tennessee
179,Hamilton,Arts & Theatre,Undefined,Orpheum Theatre - Memphis,2019-07-21,38103,Memphis,Tennessee
180,Hamilton,Arts & Theatre,Undefined,Orpheum Theatre - Memphis,2019-07-23,38103,Memphis,Tennessee
181,Hamilton,Arts & Theatre,Undefined,Orpheum Theatre - Memphis,2019-07-24,38103,Memphis,Tennessee
182,Hamilton,Arts & Theatre,Undefined,Orpheum Theatre - Memphis,2019-07-25,38103,Memphis,Tennessee
183,Hamilton,Arts & Theatre,Undefined,Orpheum Theatre - Memphis,2019-07-26,38103,Memphis,Tennessee
184,Hamilton,Arts & Theatre,Undefined,Orpheum Theatre - Memphis,2019-07-27,38103,Memphis,Tennessee
185,Hamilton,Arts & Theatre,Undefined,Orpheum Theatre - Memphis,2019-07-27,38103,Memphis,Tennessee
186,Hamilton,Arts & Theatre,Undefined,Orpheum Theatre - Memphis,2019-07-28,38103,Memphis,Tennessee
187,Hamilton,Arts & Theatre,Undefined,Orpheum Theatre - Memphis,2019-07-28,38103,Memphis,Tennessee
188,UConn Huskies Football at Memphis Tigers Football,Sports,Football,Liberty Bowl Stadium,2018-10-06,38104,Memphis,Tennessee
189,Blue October,Music,Alternative,New Daisy Theatre,2018-10-18,38103,Memphis,Tennessee
190,So So Def 25th Cultural Curren$y Tour,Music,Hip-Hop/Rap,FedExForum,2018-10-26,38103,Memphis,Tennessee
191,Riley Green,Music,Other,Minglewood Hall,2018-08-11,38104,Memphis,Tennessee
192,Social Distortion,Music,Rock,Minglewood Hall,2018-10-23,38104,Memphis,Tennessee
193,Chromeo,Music,Dance/Electronic,New Daisy Theatre,2018-09-18,38103,Memphis,Tennessee
194,Andy Grammer,Music,Other,Minglewood Hall,2018-10-27,38104,Memphis,Tennessee
195,BUSHMAN'S CHRISTMAS PARTY,Music,Hip-Hop/Rap,Ebony and Ivory Club,2032-01-01,38103,Memphis,Tennessee
196,Nashville Sounds at Memphis Redbirds,Sports,Baseball,Autozone Park,2018-08-24,38103,Memphis,Tennessee
