,event name,Classification,genre,venue,Date,Zip code,City,State
186,Q In The Lou VIP Pass,Miscellaneous,Fairs & Festivals,Kiener Plaza,2018-09-22,63101,St Louis,Missouri
187,Never Shout Never,Music,Pop,Off Broadway,2018-09-23,63118,St. Louis,Missouri
188,Q In The Lou VIP Pass,Miscellaneous,Fairs & Festivals,Kiener Plaza,2018-09-23,63101,St Louis,Missouri
189,Courtney Marie Andrews,Music,Other,Off Broadway,2018-09-24,63118,St. Louis,Missouri
190,MC50,Music,Other,The Ready Room,2018-09-26,63110,St. Louis,Missouri
191,Start Making Sense,Music,Rock,The Ready Room,2018-09-28,63110,St. Louis,Missouri
192,Matthew Perryman Jones,Music,Other,Off Broadway,2018-09-29,63118,St. Louis,Missouri
193,St. Louis Actors' Studio - The Little Foxes,Arts & Theatre,Theatre,The Gaslight Theater,2018-09-29,63108,St Louis,Missouri
194,Screaming Females,Music,Rock,Off Broadway,2018-09-30,63118,St. Louis,Missouri
195,Shane Smith and the Saints,Music,Other,Off Broadway,2018-10-06,63118,St. Louis,Missouri
196,St. Louis Actors' Studio - The Little Foxes,Arts & Theatre,Theatre,The Gaslight Theater,2018-10-06,63108,St Louis,Missouri
197,St. Louis Actors' Studio - The Little Foxes,Arts & Theatre,Theatre,The Gaslight Theater,2018-10-07,63108,St Louis,Missouri
198,Roam,Music,Rock,Fubar,2018-10-09,63101,St. Louis,Missouri
199,St. Louis Actors' Studio - The Little Foxes,Arts & Theatre,Theatre,The Gaslight Theater,2018-10-11,63108,St Louis,Missouri
200,St. Louis Actors' Studio - The Little Foxes,Arts & Theatre,Theatre,The Gaslight Theater,2018-10-12,63108,St Louis,Missouri
201,St. Louis Actors' Studio - The Little Foxes,Arts & Theatre,Theatre,The Gaslight Theater,2018-10-13,63108,St Louis,Missouri
202,St. Louis Actors' Studio - The Little Foxes,Arts & Theatre,Theatre,The Gaslight Theater,2018-10-14,63108,St Louis,Missouri
203,Thunderp***y,Music,Other,The Ready Room,2018-10-17,63110,St. Louis,Missouri
204,Astronoid,Music,Rock,Duck Room at Blueberry Hill,2018-10-17,63130,St Louis,Missouri
205,A Place To Bury Strangers,Music,Other,Off Broadway,2018-10-18,63118,St. Louis,Missouri
206,Eden w/ Kacy Hill,Music,Dance/Electronic,The Ready Room,2018-10-19,63110,St. Louis,Missouri
207,Max Frost,Music,R&B,Off Broadway,2018-10-20,63118,St. Louis,Missouri
208,Jackopierce,Music,Alternative,Off Broadway,2018-10-26,63118,St. Louis,Missouri
209,Jackopierce,Music,Alternative,Off Broadway,2018-10-27,63118,St. Louis,Missouri
210,Masego,Music,Other,The Ready Room,2018-10-29,63110,St. Louis,Missouri
211,Bob Log III,Music,Other,Off Broadway,2018-10-30,63118,St. Louis,Missouri
212,Of Montreal,Music,Alternative,The Ready Room,2018-11-15,63110,St. Louis,Missouri
213,Lucero w/ Strand of Oaks,Music,World,Off Broadway,2018-11-17,63118,St. Louis,Missouri
214,Lucero w/ Strand of Oaks,Music,World,Off Broadway,2018-11-18,63118,St. Louis,Missouri
215,Why?,Music,Other,The Ready Room,2018-11-21,63110,St. Louis,Missouri
216,All Them Witches,Music,Country,Duck Room at Blueberry Hill,2018-11-24,63130,St Louis,Missouri
217,The Buttertones,Music,Other,Off Broadway,2018-11-25,63118,St. Louis,Missouri
218,St. Louis Actors' Studio - Tribes,Arts & Theatre,Theatre,The Gaslight Theater,2018-12-08,63108,St Louis,Missouri
219,St. Louis Actors' Studio - Tribes,Arts & Theatre,Theatre,The Gaslight Theater,2018-12-09,63108,St Louis,Missouri
220,St. Louis Actors' Studio - Tribes,Arts & Theatre,Theatre,The Gaslight Theater,2018-12-13,63108,St Louis,Missouri
221,St. Louis Actors' Studio - Tribes,Arts & Theatre,Theatre,The Gaslight Theater,2018-12-14,63108,St Louis,Missouri
