,event name,Classification,genre,venue,Date,Zip code,City,State
358,Magic Mike Live,Arts & Theatre,Miscellaneous Theatre,Club Domina at the Hard Rock Hotel & Casino,2018-09-21,89169,Las Vegas,Nevada
359,Magic Mike Live,Arts & Theatre,Miscellaneous Theatre,Club Domina at the Hard Rock Hotel & Casino,2018-09-15,89169,Las Vegas,Nevada
360,Magic Mike Live,Arts & Theatre,Miscellaneous Theatre,Club Domina at the Hard Rock Hotel & Casino,2018-08-09,89169,Las Vegas,Nevada
361,Boyz II Men,Music,R&B,Terry Fator Theatre at Mirage Hotel and Casino,2018-12-30,89109,Las Vegas,Nevada
362,Ron White,Arts & Theatre,Comedy,Terry Fator Theatre at Mirage Hotel and Casino,2018-08-18,89109,Las Vegas,Nevada
363,Absinthe,Arts & Theatre,Performance Art,Spiegeltent at Caesars Palace,2018-08-04,89109,Las Vegas,Nevada
364,Magic Mike Live,Arts & Theatre,Miscellaneous Theatre,Club Domina at the Hard Rock Hotel & Casino,2018-09-07,89169,Las Vegas,Nevada
365,National Finals Rodeo,Sports,Miscellaneous,Thomas & Mack Center,2018-12-06,89154,Las Vegas,Nevada
366,Shania Twain: NOW,Music,Country,MGM Grand Garden Arena,2018-08-04,89109,Las Vegas,Nevada
367,Boyz II Men,Music,R&B,Terry Fator Theatre at Mirage Hotel and Casino,2018-09-29,89109,Las Vegas,Nevada
368,Magic Mike Live,Arts & Theatre,Miscellaneous Theatre,Club Domina at the Hard Rock Hotel & Casino,2018-09-14,89169,Las Vegas,Nevada
369,E-40,Music,Hip-Hop/Rap,Brooklyn Bowl at the Linq Promenade,2018-09-02,89109,Las Vegas,Nevada
370,Boyz II Men,Music,R&B,Terry Fator Theatre at Mirage Hotel and Casino,2018-09-22,89109,Las Vegas,Nevada
371,Magic Mike Live,Arts & Theatre,Miscellaneous Theatre,Club Domina at the Hard Rock Hotel & Casino,2018-08-23,89169,Las Vegas,Nevada
372,Chief Keef,Music,Hip-Hop/Rap,House of Blues Las Vegas presented by Cricket Wireless,2018-10-06,89119,Las Vegas,Nevada
373,"Reba, Brooks & Dunn - Together In Vegas",Music,Country,The Colosseum at Caesars Palace,2018-12-12,89109,Las Vegas,Nevada
374,Carolina Hurricanes at Vegas Golden Knights,Sports,Miscellaneous,T-Mobile Arena,2018-11-03,89158,Las Vegas,Nevada
375,Magic Mike Live,Arts & Theatre,Miscellaneous Theatre,Club Domina at the Hard Rock Hotel & Casino,2018-08-16,89169,Las Vegas,Nevada
376,Magic Mike Live,Arts & Theatre,Miscellaneous Theatre,Club Domina at the Hard Rock Hotel & Casino,2018-09-07,89169,Las Vegas,Nevada
377,70's Soul Jam,Music,Rock,Cannery Hotel and Casino,2018-09-08,89030,Las Vegas,Nevada
378,Metallica - WorldWired Tour,Music,Metal,T-Mobile Arena,2018-11-26,89158,Las Vegas,Nevada
379,Magic Mike Live,Arts & Theatre,Miscellaneous Theatre,Club Domina at the Hard Rock Hotel & Casino,2018-08-15,89169,Las Vegas,Nevada
380,WHITESNAKE w/ Special Guest Scrap Metal,Music,Metal,The Sandbar at Red Rock Casino Resort & Spa,2018-08-04,89135,Las Vegas,Nevada
381,Boyz II Men,Music,R&B,Terry Fator Theatre at Mirage Hotel and Casino,2018-12-28,89109,Las Vegas,Nevada
382,National Finals Rodeo,Sports,Miscellaneous,Thomas & Mack Center,2018-12-15,89154,Las Vegas,Nevada
383,Magic Mike Live,Arts & Theatre,Miscellaneous Theatre,Club Domina at the Hard Rock Hotel & Casino,2018-09-14,89169,Las Vegas,Nevada
384,Magic Mike Live,Arts & Theatre,Miscellaneous Theatre,Club Domina at the Hard Rock Hotel & Casino,2018-09-29,89169,Las Vegas,Nevada
385,Boyz II Men,Music,R&B,Terry Fator Theatre at Mirage Hotel and Casino,2018-10-13,89109,Las Vegas,Nevada
386,Gabriel Iglesias,Arts & Theatre,Comedy,Terry Fator Theatre at Mirage Hotel and Casino,2018-11-30,89109,Las Vegas,Nevada
387,Magic Mike Live,Arts & Theatre,Miscellaneous Theatre,Club Domina at the Hard Rock Hotel & Casino,2018-08-26,89169,Las Vegas,Nevada
388,Magic Mike Live,Arts & Theatre,Miscellaneous Theatre,Club Domina at the Hard Rock Hotel & Casino,2018-08-23,89169,Las Vegas,Nevada
389,Magic Mike Live,Arts & Theatre,Miscellaneous Theatre,Club Domina at the Hard Rock Hotel & Casino,2018-09-15,89169,Las Vegas,Nevada
390,Magic Mike Live,Arts & Theatre,Miscellaneous Theatre,Club Domina at the Hard Rock Hotel & Casino,2018-08-19,89169,Las Vegas,Nevada
391,Magic Mike Live,Arts & Theatre,Miscellaneous Theatre,Club Domina at the Hard Rock Hotel & Casino,2018-09-22,89169,Las Vegas,Nevada
392,Boyz II Men,Music,R&B,Terry Fator Theatre at Mirage Hotel and Casino,2018-09-23,89109,Las Vegas,Nevada
393,Boyz II Men,Music,R&B,Terry Fator Theatre at Mirage Hotel and Casino,2018-12-29,89109,Las Vegas,Nevada
394,Banda MS,Music,World,MGM Grand Garden Arena,2018-09-14,89109,Las Vegas,Nevada
395,Beartooth - The Disease Tour,Music,Metal,House of Blues Las Vegas presented by Cricket Wireless,2018-11-01,89119,Las Vegas,Nevada
396,Boyz II Men,Music,R&B,Terry Fator Theatre at Mirage Hotel and Casino,2018-10-14,89109,Las Vegas,Nevada
397,EllisMania XV,Music,Rock,The Joint at Hard Rock Hotel Las Vegas,2018-08-25,89169,Las Vegas,Nevada
398,Boyz II Men,Music,R&B,Terry Fator Theatre at Mirage Hotel and Casino,2018-11-17,89109,Las Vegas,Nevada
